回,日付,数字1,数字2,数字3,数字4,数字5,数字6,数字7,ボーナス数字1,ボーナス数字2,一等の当選数,二等の当選数,三等の当選数,四等の当選数,五等の当選数,六等の当選数,一等当選金額,二等当選金額,三等当選金額,四等当選金額,五等当選金額,六等当選金額,キャリーオーバー金額
0021,2013/08/23,01,09,13,15,25,30,33,19,28,1,10,132,6801,112769,194579,800000000,12244200,1298600,14700,2200,1100,95906390
0020,2013/08/16,02,05,13,20,21,23,28,11,22,0,7,127,8054,106761,175616,0,14478600,1117200,10300,1900,1000,536318350
0019,2013/08/09,02,14,19,20,21,22,31,01,15,0,4,76,3806,64380,114009,0,19848700,1462500,17100,2500,1200,234808895
0018,2013/08/02,12,17,21,24,29,31,36,20,26,4,6,217,6847,97855,147556,138991400,16682100,645700,12000,2000,1200,0
0017,2013/07/26,02,03,05,22,34,36,37,07,15,0,4,90,4666,77221,169662,0,20977700,1305200,14700,2200,800,257444175
0016,2013/07/19,05,06,09,13,16,21,23,08,34,1,4,105,4943,83727,151462,259314500,21862000,1165900,14500,2100,1000,0
0015,2013/07/12,02,10,14,17,23,25,35,08,29,2,10,112,5732,92282,176674,139246400,9268900,1158600,13200,2000,900,0
0014,2013/07/05,04,07,08,09,24,28,30,34,36,2,16,206,9151,138034,208315,316971200,7259000,789300,10400,1700,1000,0
0013,2013/06/28,06,10,16,21,27,28,35,15,34,0,8,116,6420,102857,180788,0,12556800,1212300,12800,1900,1000,297797015
0012,2013/06/21,11,12,14,19,26,27,33,24,32,1,9,198,7888,111522,167040,296535200,11274500,717400,10500,1800,1100,0
0011,2013/06/14,09,15,26,29,32,34,36,14,35,1,6,138,6700,112138,211430,707670400,20977400,1276800,15400,2200,1000,0
0010,2013/06/07,01,02,03,06,24,28,30,16,20,0,4,147,6861,113261,166137,0,26389000,1005200,12600,1800,1100,321524240
0009,2013/05/31,03,04,15,23,27,30,36,13,35,2,4,201,8281,129548,213199,380111200,30883600,860400,12200,1900,1000,0
0008,2013/05/24,02,21,28,29,30,32,36,06,08,0,4,98,5628,98454,201752,0,28966000,1655100,16900,2300,1000,390672500
0007,2013/05/17,01,03,05,07,27,29,33,06,15,3,18,209,10300,164712,287966,800000000,8835900,1065300,12600,1900,1000,41801960
0006,2013/05/10,05,15,19,23,30,34,35,06,25,0,13,166,9111,158890,271441,0,12174300,1334700,14200,2000,1000,1975256125
0005,2013/05/03,01,03,04,05,16,21,28,22,31,0,13,217,10451,163965,239669,0,11525600,966600,11700,1800,1100,1502479900
0004,2013/04/26,12,13,22,23,24,28,29,02,14,0,6,132,7217,127060,217162,0,22730100,1446400,15500,2100,1100,1055636845
0003,2013/04/19,02,07,08,11,14,23,31,05,15,0,15,218,9957,147796,252702,0,8717200,839700,10700,1700,900,646583065
0002,2013/04/12,20,24,29,31,33,34,35,12,32,0,3,63,3631,67155,122990,0,27968500,1864500,18900,2500,1200,247506600
0001,2013/04/05,07,10,12,17,23,28,34,03,15,1,24,168,8254,115022,189593,301716500,4144600,828900,9800,1700,900,0
